,Company Name,Symbols
0,The Federal Bank  Limited,FEDERALBNK.NS
1,Bandhan Bank Limited,BANDHANBNK.NS
2,Axis Bank Limited,AXISBANK.NS
3,IDFC First Bank Limited,IDFCFIRSTB.NS
4,RBL Bank Limited,RBLBANK.NS
5,ICICI Bank Limited,ICICIBANK.NS
6,IndusInd Bank Limited,INDUSINDBK.NS
7,Kotak Mahindra Bank Limited,KOTAKBANK.NS
8,City Union Bank Limited,CUB.NS
9,HDFC Bank Limited,HDFCBANK.NS
