,Company Name,Symbol
168,Carborundum Universal Limited,CARBORUNIV
169,Shilpa Medicare Limited,SHILPAMED
170,Vakrangee Limited,VAKRANGEE
171,ROUTE MOBILE LIMITED,ROUTE
172,BASF India Limited,BASF
173,Laxmi Organic Industries Limited,LXCHEM
174,Asahi India Glass Limited,ASAHIINDIA
175,Godrej Agrovet Limited,GODREJAGRO
176,Nilkamal Limited,NILKAMAL
177,Vardhman Textiles Limited,VTL
178,INOX Leisure Limited,INOXLEISUR
179,PNB Housing Finance Limited,PNBHOUSING
180,Hemisphere Properties India Limited,HEMIPROP
181,Kaveri Seed Company Limited,KSCL
182,Multi Commodity Exchange of India Limited,MCX
18
184,Gujarat Fluorochemicals Limited,FLUOROCHEM
185,Valiant Organics Limited,VALIANTORG
186,Cyient Limited,CYIENT
187,Sudarshan Chemical Industries Limited,SUDARSCHEM
188,Tanla Platforms Limited,TANLA
189,Birla Corporation Limited,BIRLACORPN
190,Alok Industries Limited,ALOKINDS
191,UTI Asset Management Company Limited,UTIAMC
192,Happiest Minds Technologies Limited,HAPPSTMNDS
193,V-Mart Retail Limited,VMART
194,Fertilizers and Chemicals Travancore Limited,FACT
195,T Clothing Co. Limited,TBRANDS
196,The India Cements Limited,INDIACEM
197,Brigade Enterprises Limited,BRIGADE
198,Spandana Sphoorty Financial Limited,SPANDANA
199,Balaji Amines Limited,BALAMINES
200,Timken India Limited,TIMKEN
201,Indiabulls Housing Finance Limited,IBULHSGFIN
202,Sterling and Wilson Renewable Energy Limited,SWSOLAR
203,Century Textiles & Industries Limited,CENTURYTEX
204,Sterlite Technologies Limited,STLTECH
205,JK Tyre & Industries Limited,JKTYRE
206,Prism Joon Limited,PRSMJON
207,Burger King India Limited,BURGERKING
208,Ujjivan Small Finance Bank Limited,UJJIVFB
210,Granules India Limited,GRANULES
211,Intellect Design Arena Limited,INTELLECT
212,Zar Technologies Limited,ZARTECH
213,Westlife Development Ltd,WESTLIFE
214,Graphite India Limited,GRAPHITE
215,Angel One Limited,ANGELONE
216,Sun Pharma Advanced Research Company Limited,SPARC
217,Indian Energy Exchange Limited,IEX
218,RHI MAGNESITA INDIA LIMITED,RHIM
219,Radico Khaitan Limited,RADICO
220,MMTC Limited,MMTC
221,CG Power and Industrial Soluti Limited,CGPOWER
222,Nazara Technologies Limited,NAZARA
223,BIRLASOFT LIMITED,BSOFT
224,K.P.R. Mill Limited,KPRMILL
225,Central Depository Services (India) Limited,CDSL
226,Suprajit Engineering Limited,SUPRAJIT
227,Gujarat Ambuja Exports Limited,GAEL
228,Strides Pharma Science Limited,STAR
229,Poly Medicure Limited,POLYMED
230,BSE Limited,BSE
231,CCL Products (India) Limited,CCL
232,Suzlon Energy Limited,SUZLON
233,Hitachi Energy India Limited,POWERINDIA
234,Welspun Corp Limited,WELCORP
235,IOL Chemicals and Pharmaceuticals Limited,IOLCP
236,Minda Corporation Limited,MINDACORP
237,Firstsource Soluti Limited,FSL
238,Welspun India Limited,WELSPUNIND
239,Lux Industries Limited,LUXIND
240,Venky's (India) Limited,VENKEYS
241,Poonawalla Fincorp Limited,POONAWALLA
242,Indo Count Industries Limited,ICIL
243,Home First Finance Company India Limited,HOMEFIRST
244,Aegis Logistics Limited,AEGISCHEM
245,Advanced Enzyme Technologies Limited,ADVENZYMES
246,Mahindra Logistics Limited,MAHLOG
247,Sunteck Realty Limited,SUNTECK
248,Jubilant Pharmova Limited,JUBLPHARMA
249,Ujjivan Financial Services Limited,UJJIVAN
