,Company Name,Symbol
0,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
1,CREDITACCESS GRAMEEN LIMITED,CREDITACC
2,NLC India Limited,NLCINDIA
3,Tata Teleservices (Maharashtra) Limited,TTML
4,Blue Star Limited,BLUESTARCO
5,FDC Limited,FDC
6,V-Guard Industries Limited,VGUARD
7,VIP Industries Limited,VIPIND
8,Lakshmi Machine Works Limited,LAXMIMACH
9,Karur Vysya Bank Limited,KARURVYSYA
10,Gujarat State Fertilizers & Chemicals Limited,GSFC
11,Narayana Hrudayalaya Ltd.,NH
12,Chalet Hotels Limited,CHALET
13,SPICEJET LTD,SPICEJET
14,Ratnamani Metals & Tubes Limited,RATNAMANI
15,Jubilant Ingrevia Limited,JUBLINGREA
16,Infibeam Avenues Limited,INFIBEAM
17,Polyplex Corporation Limited,POLYPLEX
18,Teamlease Services Limited,TEAMLEASE
19,Gujarat Alkalies and Chemicals Limited,GUJALKALI
20,Capri Global Capital Limited,CGCL
21,Balrampur Chini Mills Limited,BALRAMCHIN
22,Cera Sanitaryware Limited,CERA
23,Varroc Engineering Limited,VARROC
24,PNC Infratech Limited,PNCINFRA
25,JM Financial Limited,JMFINANCIL
26,Sobha Limited,SOBHA
27,Ingersoll Rand (India) Limited,INGERRAND
28,Engineers India Limited,ENGINERSIN
29,Rallis India Limited,RALLIS
30,Thyrocare Technologies Limited,THYROCARE
31,RITES Limited,RITES
32,EID Parry India Limited,EIDPARRY
33,JK Lakshmi Cement Limited,JKLAKSHMI
34,PCBL LIMITED,PCBL
35,Finolex Industries Limited,FINPIPE
36,Rashtriya Chemicals and Fertilizers Limited,RCF
37,Avanti Feeds Limited,AVANTIFEED
38,Elgi Equipments Limited,ELGIEQUIP
39,Mangalore Refinery and Petrochemicals Limited,MRPL
40,KPIT Technologies Limited,KPITTECH
41,Tasty Bite Eatables Limited,TASTYBITE
42,Mazagon Dock Shipbuilders Limited,MAZDOCK
43,Ashoka Buildcon Limited,ASHOKA
44,The Great Eastern Shipping Company Limited,GESHIP
45,Fine Organic Industries Limited,FINEORG
46,Jyothy Labs Limited,JYOTHYLAB
47,DCB Bank Limited,DCBBANK
48,Iifl Wealth Management Limited,IIFLWAM
49,Mahindra Holidays & Resorts India Limited,MHRIL
50,Jindal Stainless Limited,JSL
51,NCC Limited,NCC
52,Quess Corp Limited,QUESS
53,EIH Limited,EIHOTEL
54,Kalpataru Power Trmission Limited,KALPATPOWR
55,Bajaj Electricals Limited,BAJAJELEC
56,CESC Limited,CESC
57,Joon Controls - Hitachi Air Conditioning India Limited,JCHAC
58,CEAT Limited,CEATLTD
59,Redington (India) Limited,REDINGTON
60,Jindal Saw Limited,JINDALSAW
61,BEML Limited,BEML
62,La Opala RG Limited,LAOPALA
63,KNR Ctructi Limited,KNRCON
64,Lemon Tree Hotels Limited,LEMONTREE
65,SJVN Limited,SJVN
66,Aarti Drugs Limited,AARTIDRUGS
67,GMM Pfaudler Limited,GMMPFAUDLR
68,JK Paper Limited,JKPAPER
69,Cochin Shipyard Limited,COCHHIP
70,Bharat Rasayan Limited,BHARATRAS
71,National Fertilizers Limited,NFL
72,Galaxy Surfactants Limited,GALAXYSURF
73,HeidelbergCement India Limited,HEIDELBERG
74,Central Bank of India,CENTRALBK
75,Indian Overseas Bank,IOB
76,Star Cement Limited,STARCEMENT
77,Godfrey Phillips India Limited,GODFRYPHLP
78,SIS LIMITED,SIS
79,Symphony Limited,SYMPHONY
80,Garware Technical Fibres Limited,GARFIBRES
81,Ircon International Limited,IRCON
82,Supreme Petrochem Limited,SUPPETRO
83,CSB Bank Limited,CSBBANK
84,UCO Bank,UCOBANK
85,Mastek Limited,MASTEK
86,eClerx Services Limited,ECLERX
87,Computer Age Management Services Limited,CAMS
88,Jindal Stainless (Hisar) Limited,JSLHISAR
89,Sharda Cropchem Limited,SHARDACROP
90,Equitas Holdings Limited,EQUITAS
91,Indigo Paints Limited,INDIGOPNTS
92,Procter & Gamble Health Limited,PGHL
93,Bank of Maharashtra,MAHABANK
94,Rain Industries Limited,RAIN
95,NOCIL Limited,NOCIL
96,PVR Limited,PVR
97,Solara Active Pharma Sciences Limited,SOLARA
98,Mishra Dhatu Nigam Limited,MIDHANI
99,UFLEX Limited,UFLEX
100,Finolex Cables Limited,FINCABLES
101,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
102,Future Retail Limited,FRETAIL
103,Just Dial Limited,JUSTDIAL
104,Caplin Point Laboratories Limited,CAPLIPOINT
105,Dhanuka Agritech Limited,DHANUKA
106,Gujarat Pipavav Port Limited,GPPL
107,Greaves Cotton Limited,GREAVESCOT
108,Rail Vikas Nigam Limited,RVNL
109,Bharat Dynamics Limited,BDL
110,Aster DM Healthcare Limited,ASTERDM
111,KEI Industries Limited,KEI
112,Ksb Limited,KSB
113,Alembic Limited,ALEMBICLTD
114,Railtel Corporation Of India Limited,RAILTEL
115,Trident Limited,TRIDENT
116,Tata Coffee Limited,TATACOFFEE
117,Bajaj Cumer Care Limited,BAJAJCON
118,Schneider Electric Infrastructure Limited,SCHNEIDER
119,Delta Corp Limited,DELTACORP
120,Indiabulls Real Estate Limited,IBREALEST
121,HEG Limited,HEG
122,Rossari Biotech Limited,ROSSARI
123,Sheela Foam Limited,SFL
124,Orient Electric Limited,ORIENTELEC
125,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
126,Shriram City Union Finance Limited,SHRIRAMCIT
127,HFCL Limited,HFCL
128,Century Plyboards (India) Limited,CENTURYPLY
129,EPL Limited,EPL
130,NBCC (India) Limited,NBCC
131,Anupam Rasayan India Limited,ANURAS
132,Prince Pipes And Fittings Limited,PRINCEPIPE
133,Housing & Urban Development Corporation Limited,HUDCO
134,Sequent Scientific Limited,SEQUENT
135,KEC International Limited,KEC
136,Tata Steel Long Products Limited,TATASTLLP
137,TCI Express Limited,TCIEXP
138,MOIL Limited,MOIL
139,IIFL Finance Limited,IIFL
140,Kalyan Jewellers India Limited,KALYANKJIL
141,AstraZeneca Pharma India Limited,ASTRAZEN
142,Edelweiss Financial Services Limited,EDELWEISS
143,DCM Shriram Limited,DCMSHRIRAM
144,Wockhardt Limited,WOCKPHARMA
145,IRB Infrastructure Developers Limited,IRB
146,Eris Lifesciences Limited,ERIS
147,Praj Industries Limited,PRAJIND
148,Equitas Small Finance Bank Limited,EQUITASBNK
149,Hathway Cable & Datacom Limited,HATHWAY
150,Hikal Limited,HIKAL
151,Amber Enterprises India Limited,AMBER
152,IDBI Bank Limited,IDBI
153,Can Fin Homes Limited,CANFINHOME
154,Hinduja Global Soluti Limited,HGS
155,Mahindra CIE Automotive Limited,MAHINDCIE
156,Shipping Corporation Of India Limited,SCI
157,IDFC Limited,IDFC
158,Dilip Buildcon Limited,DBL
159,IFB Industries Limited,IFBIND
160,Indoco Remedies Limited,INDOCO
161,Nesco Limited,NESCO
162,Grindwell Norton Limited,GRINDWELL
163,Sonata Software Limited,SONATSOFTW
164,Jamna Auto Industries Limited,JAMNAAUTO
165,KRBL Limited,KRBL
166,Bombay Burmah Trading Corporation Limited,BBTC
167,Triveni Turbine Limited,TRITURBINE
