Agro Tech Foods Ltd,ATFL.BO,,,
Jain Irrigation Systems Ltd,JISLJALEQS.BO,,,
Jasch Industries Ltd,JASCH.BO,,,
JCT Ltd,JCTLTD.BO,,,
Jindal Poly Films Ltd,JINDALPOLY.BO,,,
JSW Steel Ltd,JSWSTEEL.BO,,,
Umang Dairies Ltd,UMANGDAIR.BO,,,
Kajaria Ceramics Ltd,KAJARIACER.BO,,,
Kakatiya Cement Sugar & Industries Ltd,KAKATCEM.BO,,,
Kalyani Steels Ltd,KSL.BO,,,
Kanel Industries Ltd,KANELIND.BO,,,
Whirlpool of India Ltd,WHIRLPOOL.BO,,,
KGDenim Ltd,KGDENIM.BO,,,
Kinetic Engineering Ltd,KINETICENG.BO,,,
Kirloskar Brothers Ltd,KIRLOSBROS.BO,,,
Kirloskar Industries Ltd,KIRLOSIND.BO,,,
Kirloskar Ferrous Industries Ltd,KIRLFER.BO,,,
Envair Electrodyne Ltd,ENVAIREL.BO,,,
Kotak Mahindra Bank Ltd,KOTAKBANK.BO,,,
KRISHNA FILAMENT INDUSTRIES Ltd,KRIFILIND.BO,,,
KSB Ltd,KSB.BO,,,
LgBalkrishnan & Bros Ltd,LGBBROSLTD.BO,,,
Trent Ltd [Lakme Ltd],TRENT.BO,,,
Lakshmi Machine Works Ltd,LAXMIMACH.BO,,,
Lic Housing Finance Ltd,LICHSGFIN.BO,,,
Lupin Ltd,LUPIN.BO,,,
Lyka Labs Ltd,LYKALABS.BO,,,
The Ramco Cements Ltd,RAMCOCEM.BO,,,
Mafatlal Industries Ltd,MAFATIND.BO,,,
Maharashtra Seamless Ltd,MAHSEAMLES.BO,,,
Maharashtra Scooters Ltd,MAHSCOOTER.BO,,,
Majestic Auto Ltd,MAJESAUT.BO,,,
Manali Petrochemicals Ltd,MANALIPETC.BO,,,
Max Financial Services Ltd,MFSL.BO,,,
Mid India Industries Ltd,MIDINDIA.BO,,,
Mirc Electronics Ltd,MIRCELECTR.BO,,,
Century Enka Ltd,CENTENKA.BO,,,
Lords Chloro Alkali Ltd,LORDSCHLO.BO,,,
SpiceJet Ltd,SPICEJET.BO,,,
Morepen Laboratories Ltd,MOREPENLAB.BO,,,
MRF Ltd,MRF.BO,,,
HeidelbergCement  India Ltd,HEIDELBERG.BO,,,
NCC Ltd,NCC.BO,,,
Vedanta Ltd,VEDL.BO,,,
Nahar Spinning Mills Ltd,NAHARSPING.BO,,,
National Peroxide Ltd,NATPEROX.BO,,,
Grasim Industries Ltd,GRASIM.BO,,,
Piramal Enterprises Ltd,PEL.BO,,,
NIIT Ltd,NIITLTD.BO,,,
Jaykay Enterprises Ltd,JAYKAY.BO,,,
Nirlon Ltd,NIRLON.BO,,,
Oil And Natural Gas Corporation Ltd,ONGC.BO,,,
Oil Country Tubular Ltd,OILCOUNTUB.BO,,,
Oriental Hotels Ltd,ORIENTHOT.BO,,,
Oswal Agro Mills Ltd,OSWALAGRO.BO,,,
Indian Sucrose Ltd,INDSUCR.BO,,,
Reliance Industries Ltd,RELIANCE.BO,,,
