,Company Name,Symbols
0,Punjab National Bank,PNB.NS
1,State Bank of India,SBIN.NS
2,The Federal Bank  Limited,FEDERALBNK.NS
3,Bandhan Bank Limited,BANDHANBNK.NS
4,AU Small Finance Bank Limited,AUBANK.NS
5,Axis Bank Limited,AXISBANK.NS
6,IDFC First Bank Limited,IDFCFIRSTB.NS
7,RBL Bank Limited,RBLBANK.NS
8,ICICI Bank Limited,ICICIBANK.NS
9,IndusInd Bank Limited,INDUSINDBK.NS
10,Kotak Mahindra Bank Limited,KOTAKBANK.NS
11,HDFC Bank Limited,HDFCBANK.NS
