,Company Name,Symbols
0,Adani Green Energy Limited,ADANIGREEN.NS
1,Power Grid Corporation of India Limited,POWERGRID.NS
2,Oil & Natural Gas Corporation Limited,ONGC.NS
3,GAIL (India) Limited,GAIL.NS
4,NTPC Limited,NTPC.NS
5,Adani Transmission Limited,ADANITRANS.NS
6,Reliance Industries Limited,RELIANCE.NS
7,Bharat Petroleum Corporation Limited,BPCL.NS
8,Indian Oil Corporation Limited,IOC.NS
9,Tata Power Company Limited,TATAPOWER.NS
